timestamp,test-class,test-method,time,description,result
2021-08-18 11:41:31.288,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,14982,"[1] recordIndex=7, author=12345, text=12345, info=null, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 9,999,999,999.99, atributo4=true",OK
2021-08-18 11:41:44.705,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,12729,"[2] recordIndex=8, author=123456, text=123456, info=https://www.google.es, atributo1=18-hy76-0821, atributo2=2022/01/02 10:00, atributo3=USD 0.00, atributo4=false",OK
2021-08-18 11:41:58.028,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,12560,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=http://hola.com, atributo1=18-hr76-0821, atributo2=2022/01/02 11:59, atributo3=GBP 0.01, atributo4=true",OK
2021-08-18 11:42:14.157,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,15036,"[4] recordIndex=10, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, atributo1=18-hy56-0821, atributo2=2021/09/21 11:59, atributo3=GBP 9,999,999,999.99, atributo4=true",OK
2021-08-18 11:42:27.911,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,13141,"[5] recordIndex=11, author=cialis, text=test de prueba viagra hola 1 2 3 4 5 6 7 8 9 0 0 0 0 0 0, info=null, atributo1=18-hy54-0821, atributo2=2021/09/21 11:59, atributo3=EUR 9,999,999,999.99, atributo4=false",OK
2021-08-18 11:42:42.168,acme.testing.controlCheck.AnonymousShoutsCreateTest,create,13253,"[6] recordIndex=12, author=cialis, text=test de prueba viagra hola 1 2 3 4 5 6 7 8 9 0 0 0 0, info=http://hola.com, atributo1=18-hr54-0821, atributo2=2021/09/21 11:59, atributo3=USD 0.01, atributo4=true",OK
2021-08-18 11:42:48.211,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5368,"[1] author=hola, text=Autor demasiado corto, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:42:54.402,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5398,"[2] author=holaaaaaaaaaaaaaaaaaaaaaaa, text=Autor con 26 letras, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:00.376,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5195,"[3] author=, text=Autor vacío, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=false",OK
2021-08-18 11:43:05.94,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,4606,"[4] author=Texto 4 letras, text=hola, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=false",OK
2021-08-18 11:43:12.559,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5578,"[5] author=Texto 101 letras, text=01234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567891, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:18.942,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5399,"[6] author=Texto vacío, text=null, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:24.682,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5140,"[7] author=, text=null, info=http://hola.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:30.83,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,5419,"[8] author=Texto prueba, text=Texto prueba, info=malaurl.com, atributo1=18-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:36.145,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,4713,"[9] author=Texto prueba, text=Texto prueba, info=null, atributo1=15-hy72-0821, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
2021-08-18 11:43:41.035,acme.testing.controlCheck.AnonymousShoutsCreateTest,createNegative,4441,"[10] author=Texto prueba, text=Texto prueba, info=http://hola.com, atributo1=18-hy72-0621, atributo2=2022/01/01 10:00, atributo3=EUR 10.00, atributo4=true",OK
