timestamp,test-class,test-method,time,description,result
2021-06-09 10:12:50.971,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,2928,"[1] recordIndex=6, author=12345, text=12345, info=null, name=00210609aa, deadline=2022/02/02 00:00, budget=100 EUR, important=true",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-06-09 10:12:55.715,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,4440,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, name=01210609bb, deadline=2022/04/02 01:00, budget=100 USD, important=true",Record index 7 is out of range
2021-06-09 10:13:00.037,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,3993,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, name=02210609cc, deadline=2022/06/02 02:00, budget=10.00 EUR, important=true",Record index 8 is out of range
2021-06-09 10:13:04.194,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,3863,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, name=03210609dd, deadline=2022/08/02 03:00, budget=10.00 USD, important=true",Record index 9 is out of range
