timestamp,test-class,test-method,time,description,result
2021-06-08 20:32:14.223,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,32823,"[1] recordIndex=6, author=12345, text=12345, info=null, xxx1=2020-02-02, xxx2=2022-02-02, xxx3=100 EUR",Cannot find 'By.name: xxx1'
2021-06-08 20:32:46.276,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,31662,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, xxx1=2020-02-03, xxx2=2022-04-02, xxx3=100 USD",Cannot find 'By.name: xxx1'
2021-06-08 20:33:18.658,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,31899,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, xxx1=2020-02-04, xxx2=2022-06-02, xxx3=10.00 EUR",Cannot find 'By.name: xxx1'
2021-06-08 20:33:23.688,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,4603,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, xxx1=2020-02-05, xxx2=2022-08-02, xxx3=10.00 USD",Cannot find 'By.name: xxx1'
