timestamp,test-class,test-method,time,description,result
2021-06-09 10:09:39.431,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,2453,"[1] recordIndex=0, moment=2021/06/02 10:00, author=John Doe, text=I'm happy!, info=null, date=12/01/2021, moment2=2021/12/02 21:00, amount=USD 700.00, flag=true",Expected value '12/01/2021' in attribute 4 of record 0, but found '154626:0121:11'
2021-06-09 10:09:41.611,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1848,"[2] recordIndex=1, moment=2021/06/02 16:00, author=Foo Bar, text=Just turning 50!, info=http://www.example1.org, date=14/01/2021, moment2=2021/12/02 21:00, amount=USD 600.00, flag=true",Expected value '14/01/2021' in attribute 4 of record 1, but found '514358:0121:11'
2021-06-09 10:09:43.764,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1880,"[3] recordIndex=2, moment=2021/06/02 01:00, author=Francisco Borrego, text=Este es un texto muy guay., info=null, date=15/01/2021, moment2=2021/12/02 21:00, amount=EUR 30.00, flag=true",Expected value '15/01/2021' in attribute 4 of record 2, but found '512358:0121:11'
2021-06-09 10:09:45.948,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1929,"[4] recordIndex=3, moment=2021/06/02 13:00, author=Jesus Vargas, text=Hola miren mi proyecto., info=https://github.com/Francisco-Borrego/Acme-Planner/, date=17/01/2021, moment2=2021/12/02 21:00, amount=USD 400.00, flag=true",Expected value '17/01/2021' in attribute 4 of record 3, but found '462515:0121:11'
2021-06-09 10:09:48.161,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1894,"[5] recordIndex=4, moment=2021/06/02 21:00, author=Antonio Funes, text=Me gusta mucho esta página., info=https://www.us.es/, date=18/01/2021, moment2=2021/12/02 21:00, amount=EUR 250.00, flag=true",Expected value '18/01/2021' in attribute 4 of record 4, but found '762046:0121:11'
2021-06-09 10:09:50.222,acme.testing.anonymous.shouts.AnonymousShoutsListTest,list,1837,"[6] recordIndex=5, moment=2021/06/02 21:00, author=Usuario de incógnito, text=Esta página está chula, info=https://www.google.es/, date=19/01/2021, moment2=2021/12/02 21:00, amount=USD 300.00, flag=true",Expected value '19/01/2021' in attribute 4 of record 5, but found '652462:0121:11'
2021-06-09 10:10:31.304,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,31581,"[1] recordIndex=6, author=12345, text=12345, info=null, moment=653623:0621:09, amount=2021/06/30 21:00, flag=USD 700.00",Cannot find 'By.name: xxx.moment'
2021-06-09 10:11:02.879,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,createNegative,31332,"[1] author=Alejandro, text=Descripcion, info=null, moment=2022/06/02 9:45, amount=EUR -0.01, flag=true",Cannot find 'By.name: xxx.moment'
